N,P,K,temperature,humidity,ph,rainfall,moisture,Organic_Carbon,Electrical_Conductivity,Soil_Type,Recommended_Fertilizer
106,76,87,25.59,68.01,5.84,1407.56,27.75,0.64,0.38,Loamy,Urea
134,39,45,18.93,56.38,6.58,802.78,34.78,1.03,1.25,Loamy,DAP
135,89,47,34.45,62.93,5.29,459.49,53.52,0.9,2.84,Clay,Compost
147,68,64,26.03,65.75,7.72,936.13,48.79,0.97,2.73,Loamy,MOP
110,67,39,16.25,57.29,5.24,1026.55,14.2,0.81,1.45,Clay,MOP
98,33,35,37.05,33.47,4.84,2952.3,54.52,0.56,0.51,Silt,DAP
137,24,104,13.28,64.06,6.24,2536.61,33.59,1.44,0.62,Clay,DAP
26,31,51,32.0,53.85,7.13,419.68,47.19,0.31,1.19,Silt,Urea
152,41,56,30.35,41.99,6.25,2295.66,17.0,1.42,0.71,Silt,SSP
135,84,28,12.19,83.79,5.61,1779.0,43.54,0.6,0.34,Sandy,MOP
122,51,113,37.05,74.16,6.73,839.73,21.82,0.87,2.05,Clay,NPK
72,68,86,19.49,47.04,5.89,2290.42,31.92,0.34,1.79,Sandy,Zinc Sulphate
138,64,96,32.23,62.34,8.23,284.5,10.84,0.29,0.94,Clay,Zinc Sulphate
22,14,92,18.31,87.79,8.19,2248.29,17.58,0.76,2.36,Clay,Urea
81,50,89,25.77,44.73,6.51,2706.81,14.6,1.16,2.35,Sandy,NPK
51,66,34,39.17,86.84,5.81,2671.32,21.99,0.55,1.52,Sandy,Urea
21,62,99,28.32,71.0,7.45,2362.55,15.0,0.93,0.38,Clay,Urea
99,47,94,18.89,62.45,4.65,2817.25,44.6,0.56,2.76,Loamy,Compost
143,10,27,23.75,88.99,6.4,2180.52,11.45,0.71,2.04,Silt,DAP
100,69,18,30.28,50.02,5.85,2122.84,40.89,1.38,0.82,Sandy,MOP
72,85,97,23.36,46.69,8.18,273.34,17.04,1.31,1.87,Silt,Zinc Sulphate
159,55,113,37.32,50.38,4.55,687.73,57.26,0.87,1.27,Loamy,Compost
143,13,26,36.02,75.05,6.71,2388.0,56.65,0.51,1.94,Loamy,DAP
152,24,103,14.4,50.22,7.46,2993.01,21.28,0.45,1.47,Loamy,DAP
23,21,13,33.55,36.17,6.44,2215.81,40.72,1.44,1.51,Sandy,Urea
75,10,64,38.27,68.66,4.84,1823.52,11.4,0.46,2.23,Loamy,DAP
99,86,63,19.51,43.38,8.39,713.57,56.59,1.25,1.88,Sandy,Zinc Sulphate
64,39,37,17.15,30.25,6.57,2854.15,36.15,0.68,0.33,Loamy,DAP
72,83,114,10.29,41.95,6.96,2019.25,12.16,1.48,0.29,Silt,DAP
92,15,49,13.47,79.15,5.45,1569.31,27.12,0.68,0.98,Silt,DAP
35,82,18,38.83,86.41,6.43,2611.88,13.84,0.66,1.35,Clay,Urea
112,59,45,21.73,69.72,6.22,2869.19,29.65,1.03,0.9,Silt,Compost
132,11,17,21.62,48.63,4.8,1239.32,43.5,1.45,1.99,Clay,DAP
49,15,71,18.0,56.19,4.92,1644.2,33.49,1.47,0.67,Silt,Urea
39,84,95,14.92,41.67,7.85,522.29,29.19,1.12,2.14,Sandy,Urea
125,86,98,25.26,82.85,5.46,2887.59,15.96,1.18,2.34,Silt,Compost
106,47,58,31.7,69.93,5.28,537.89,22.25,0.93,0.46,Clay,Compost
55,85,79,26.52,35.06,6.52,2801.28,15.01,1.18,1.99,Clay,Urea
41,27,99,11.06,52.02,7.57,734.9,50.37,1.32,2.89,Loamy,Urea
148,28,51,34.1,62.28,4.75,2744.57,16.76,0.83,0.66,Sandy,DAP
40,37,11,37.95,77.84,6.81,1466.46,39.77,1.01,2.74,Silt,Urea
24,21,40,23.21,85.23,4.98,1857.78,27.14,0.9,1.86,Loamy,Urea
139,61,85,20.99,37.96,4.65,299.74,21.3,0.93,1.81,Silt,Compost
101,86,28,16.9,80.07,4.71,1304.28,41.97,1.36,0.25,Silt,MOP
98,67,110,19.06,33.95,7.84,1581.5,32.85,0.66,2.27,Loamy,Zinc Sulphate
64,31,110,29.33,44.43,4.97,226.4,30.01,0.47,1.49,Loamy,DAP
77,54,74,33.1,31.26,4.68,2050.4,39.64,0.79,2.19,Loamy,Compost
64,71,83,19.97,33.83,6.25,2548.91,34.56,0.47,2.45,Loamy,NPK
57,51,69,20.19,31.95,7.88,269.38,25.17,0.85,1.62,Loamy,Urea
70,76,71,23.53,38.76,5.55,1579.1,37.95,1.37,0.86,Silt,DAP
43,18,69,15.11,82.59,6.19,294.45,43.47,1.0,0.51,Loamy,Urea
110,73,107,37.82,47.03,4.66,2645.22,11.33,1.31,0.57,Sandy,Compost
44,24,25,31.16,58.78,6.3,650.28,33.29,0.42,2.61,Clay,Urea
89,39,114,23.01,59.23,6.81,363.87,12.88,1.37,0.46,Loamy,DAP
68,35,16,13.67,89.72,6.78,2601.55,19.32,0.98,1.22,Loamy,DAP
36,78,86,35.46,51.88,5.83,1444.62,38.03,0.24,1.07,Silt,Urea
62,31,77,24.51,45.91,5.76,467.15,53.31,1.02,2.61,Loamy,DAP
101,63,112,33.91,87.79,4.93,2014.17,54.14,1.44,1.49,Loamy,Compost
82,67,104,11.0,65.55,5.97,2175.68,13.5,0.3,2.99,Loamy,Zinc Sulphate
43,88,83,18.21,47.37,4.9,1791.34,30.96,0.96,2.24,Silt,Urea
52,62,21,28.66,47.25,7.57,1129.96,39.15,1.39,2.57,Loamy,Urea
36,28,107,24.64,35.18,8.37,1388.56,17.35,0.21,0.39,Clay,Urea
63,43,101,18.85,63.41,8.38,2873.55,48.27,1.02,0.83,Silt,Zinc Sulphate
126,23,14,16.03,73.42,7.96,1696.21,47.21,0.82,0.49,Clay,DAP
118,31,101,19.05,58.48,6.9,1311.77,55.17,0.65,1.44,Silt,DAP
48,22,56,32.27,83.07,7.3,2182.94,10.42,1.02,2.18,Loamy,Urea
31,73,20,15.51,59.04,5.64,413.24,20.83,0.27,0.59,Clay,Urea
119,65,43,27.81,50.78,7.02,1012.64,51.36,1.18,0.48,Silt,MOP
146,81,88,22.71,45.05,6.32,834.12,43.53,0.21,1.88,Sandy,Compost
156,51,60,32.89,44.6,6.43,2104.29,54.72,0.6,0.77,Loamy,SSP
105,75,14,16.05,48.99,7.53,1890.96,12.86,0.86,1.49,Silt,MOP
72,72,57,18.1,89.52,5.63,2326.42,39.85,0.69,0.25,Sandy,NPK
80,51,94,21.96,51.65,5.77,1394.96,38.45,0.6,2.07,Silt,NPK
132,43,40,15.0,61.48,8.2,687.04,11.78,1.28,1.67,Sandy,Zinc Sulphate
67,38,49,23.84,46.48,4.72,711.92,35.68,1.42,1.98,Loamy,DAP
127,35,16,22.48,38.61,6.44,2698.31,40.48,1.34,0.9,Clay,DAP
98,32,108,39.7,68.75,8.15,409.7,19.56,0.88,0.91,Sandy,DAP
66,45,94,27.82,62.71,6.94,1863.54,23.67,1.35,2.42,Silt,DAP
86,18,49,12.08,34.07,6.69,848.68,42.02,1.4,2.18,Loamy,DAP
83,51,78,23.8,82.97,5.5,799.98,33.42,0.73,1.78,Sandy,NPK
141,76,23,36.36,60.46,5.87,475.54,52.9,0.57,1.92,Silt,MOP
63,16,107,36.0,50.12,7.91,2941.99,27.12,0.33,0.37,Silt,DAP
24,32,19,38.85,76.76,6.74,370.76,23.33,0.82,2.58,Silt,Urea
113,41,91,36.83,36.73,6.56,613.7,59.24,1.43,2.33,Sandy,DAP
98,32,90,15.29,58.43,4.9,1222.47,55.56,0.93,1.81,Sandy,DAP
58,25,111,10.11,62.93,4.56,1476.23,11.45,1.07,2.76,Sandy,Urea
121,78,58,28.49,76.51,8.35,2862.24,48.54,0.35,0.59,Clay,Zinc Sulphate
111,22,105,31.07,52.21,6.01,877.01,15.52,0.39,2.09,Sandy,DAP
40,19,26,13.94,81.3,6.91,2218.74,11.37,0.8,2.89,Sandy,Urea
93,68,95,15.01,71.86,4.82,2037.89,23.68,1.44,1.0,Sandy,Compost
47,11,98,38.89,76.26,7.23,1648.99,23.47,0.67,0.14,Clay,Urea
132,89,60,38.31,88.14,8.23,944.97,50.97,1.34,2.23,Sandy,Zinc Sulphate
47,61,89,14.71,80.69,6.8,638.58,45.53,0.36,0.12,Silt,Urea
105,10,71,17.41,50.81,5.0,694.26,59.08,1.0,2.63,Sandy,DAP
121,79,39,36.76,68.75,6.83,1168.78,45.58,0.98,0.26,Silt,MOP
38,63,64,23.05,82.12,7.57,583.94,30.91,1.32,1.99,Silt,Urea
82,28,43,33.94,61.51,6.13,2996.03,44.95,0.2,1.19,Silt,DAP
135,37,78,21.88,70.97,8.02,1448.29,59.97,0.45,0.69,Clay,DAP
57,14,117,32.09,40.34,7.09,1709.17,45.51,0.49,2.7,Clay,Urea
65,85,42,21.9,78.95,8.1,1926.08,48.08,1.43,2.26,Clay,Zinc Sulphate
111,39,14,36.98,75.45,6.99,748.2,56.92,0.4,1.09,Sandy,DAP
28,28,113,19.77,83.33,5.03,1548.91,15.68,0.25,0.92,Silt,Urea
28,51,51,25.69,72.61,5.74,376.09,45.24,0.89,2.23,Clay,Urea
40,34,12,25.65,82.61,5.31,2913.67,52.54,0.89,2.53,Clay,Urea
43,44,72,29.47,39.73,8.14,1523.91,57.72,1.3,2.18,Sandy,Urea
114,18,47,19.2,78.82,7.54,283.05,20.55,1.43,1.96,Clay,DAP
112,48,22,29.28,87.18,7.21,1877.41,35.2,0.9,0.76,Sandy,MOP
59,65,17,14.23,78.93,5.7,480.32,44.03,1.41,2.57,Loamy,Urea
151,47,70,36.81,66.91,5.24,2411.95,22.37,1.14,2.27,Clay,Compost
150,24,39,14.33,85.59,7.53,2869.4,40.02,0.54,1.6,Loamy,DAP
40,55,59,35.21,35.67,6.4,2766.37,22.88,1.41,1.58,Sandy,Urea
27,46,78,30.79,31.01,5.4,1397.79,26.67,1.07,1.75,Silt,Urea
139,69,47,20.23,87.92,6.97,2195.23,32.08,0.74,2.5,Clay,MOP
129,71,68,19.82,70.98,4.66,636.25,36.46,1.08,2.25,Sandy,Compost
148,40,104,38.98,36.85,5.8,411.95,32.47,0.72,2.58,Silt,NPK
33,39,11,15.85,50.4,6.37,2498.94,34.66,0.35,1.57,Silt,Urea
95,75,66,31.69,74.93,5.09,2146.47,24.93,1.13,1.91,Loamy,Compost
55,16,16,15.51,75.02,8.44,2739.77,17.95,1.27,2.58,Sandy,Urea
136,39,89,37.16,40.2,5.34,2760.85,12.37,1.15,0.77,Silt,DAP
64,42,19,32.26,58.21,5.02,1172.38,19.8,0.5,1.39,Clay,MOP
30,47,38,37.98,78.44,5.31,1092.21,39.1,1.44,1.9,Clay,Urea
86,28,103,36.37,88.01,7.58,1437.32,49.31,0.23,2.75,Loamy,DAP
117,18,93,26.48,67.35,6.2,2063.91,18.46,0.63,0.15,Silt,DAP
109,41,115,14.57,68.29,6.76,213.97,15.43,0.54,0.72,Sandy,NPK
132,39,43,16.64,58.16,4.58,1696.91,47.46,0.26,0.78,Clay,DAP
109,15,81,16.05,62.34,4.64,255.25,25.26,0.73,1.05,Silt,DAP
108,70,107,16.62,35.94,6.28,1461.89,57.57,1.01,0.92,Silt,DAP
30,46,107,24.29,50.98,7.77,430.38,45.72,1.35,1.81,Loamy,Urea
99,88,54,36.03,60.44,8.04,1774.21,26.34,1.49,2.67,Clay,Zinc Sulphate
103,80,109,10.69,46.5,4.85,1079.97,24.48,1.25,1.95,Clay,Compost
125,87,80,17.15,51.59,6.65,1540.96,36.18,0.81,0.8,Sandy,NPK
135,29,67,27.9,88.27,8.15,2881.54,13.96,1.14,2.6,Clay,DAP
21,39,87,35.96,30.31,6.05,1154.71,15.88,1.3,1.93,Sandy,Urea
73,27,93,18.92,48.16,7.82,2213.99,18.79,0.8,0.73,Clay,DAP
112,72,110,21.48,65.04,5.03,2113.23,48.74,1.22,1.15,Loamy,Compost
26,70,42,21.2,46.74,8.24,2633.0,35.69,0.83,2.39,Clay,Urea
59,66,104,18.81,70.59,7.51,1136.35,10.53,0.7,2.24,Sandy,Urea
64,31,106,30.96,47.96,8.27,357.02,43.68,0.88,1.77,Sandy,DAP
151,58,99,29.67,68.29,7.21,2917.77,31.18,1.08,0.52,Loamy,NPK
126,27,99,35.3,80.99,5.95,1214.6,35.54,1.14,2.43,Clay,DAP
53,70,60,37.53,69.52,8.25,742.47,20.71,0.66,0.99,Clay,Urea
27,87,73,37.01,32.99,5.6,2759.48,37.59,0.94,2.34,Loamy,Urea
51,77,47,26.2,77.71,5.83,733.71,58.96,1.38,1.98,Clay,Urea
94,16,89,15.57,42.77,7.3,1680.52,13.67,1.47,0.87,Clay,DAP
56,16,21,16.66,68.09,7.56,2315.4,24.2,0.5,0.72,Sandy,Urea
55,74,72,27.71,68.8,8.22,2246.84,22.15,0.45,0.48,Clay,Urea
29,49,74,37.55,78.22,5.32,282.5,22.43,1.08,0.8,Clay,Urea
89,33,69,25.91,60.35,7.69,766.82,28.94,0.74,0.56,Loamy,DAP
137,41,117,38.07,52.56,7.45,2687.78,50.91,0.23,1.89,Loamy,Compost
114,19,29,17.87,61.08,4.76,1748.91,55.64,0.65,1.84,Silt,DAP
91,18,75,12.59,62.75,6.05,2124.22,20.11,1.25,1.8,Sandy,DAP
142,48,104,33.89,79.29,5.63,1326.42,37.15,1.24,1.96,Clay,NPK
80,12,27,36.38,42.3,5.72,2286.57,41.84,0.84,2.46,Clay,DAP
55,78,51,23.44,80.81,8.43,1009.47,36.09,0.81,2.75,Silt,Urea
57,16,83,13.07,51.94,7.07,849.69,31.7,0.95,0.77,Clay,Urea
123,21,15,11.27,74.63,7.37,2991.91,19.6,0.49,1.8,Sandy,DAP
111,32,75,11.88,50.14,8.41,641.42,34.41,0.88,0.33,Silt,DAP
25,72,89,23.17,72.53,6.01,2947.81,30.06,0.21,0.45,Sandy,Urea
152,26,78,17.04,77.95,7.71,2794.23,49.78,0.82,2.0,Silt,DAP
111,87,111,23.86,63.48,6.24,2201.09,48.18,0.64,1.51,Silt,Zinc Sulphate
20,73,95,24.65,67.17,7.98,1829.52,16.7,1.08,2.3,Loamy,Urea
33,74,31,23.74,72.47,5.22,212.68,14.43,1.03,1.33,Sandy,Urea
102,37,31,28.6,71.31,8.29,1978.8,55.41,0.7,0.47,Clay,DAP
50,67,74,30.38,73.64,5.38,2362.75,36.78,0.21,2.63,Clay,Urea
140,27,109,21.88,80.98,5.8,2252.05,52.89,0.53,0.34,Sandy,DAP
98,53,58,20.11,43.23,7.52,681.78,12.91,1.02,0.65,Clay,Urea
121,73,86,21.05,42.88,6.08,1724.69,36.33,0.29,0.9,Clay,NPK
51,46,21,12.11,88.24,6.93,1740.55,36.97,0.34,2.99,Sandy,Urea
76,12,72,19.65,81.08,6.28,2028.07,53.04,1.04,1.31,Silt,DAP
50,23,22,16.0,65.5,7.47,2526.65,14.88,1.18,1.55,Sandy,Urea
77,16,71,18.73,30.49,5.41,2155.05,22.02,0.62,2.33,Silt,DAP
67,26,68,31.43,81.29,4.73,595.66,30.33,0.84,1.95,Clay,DAP
142,79,20,39.66,75.1,5.7,253.29,53.29,1.43,2.54,Clay,MOP
60,88,91,37.71,87.38,6.4,582.44,56.94,1.43,1.51,Clay,Zinc Sulphate
140,48,95,34.65,30.79,5.17,312.79,59.64,0.6,2.92,Loamy,Compost
80,14,10,32.12,31.71,5.92,1422.97,57.96,1.25,2.41,Silt,DAP
151,88,77,38.35,61.05,6.1,994.51,10.3,0.97,1.26,Loamy,Zinc Sulphate
139,61,18,32.56,81.36,4.73,220.47,12.39,1.47,1.21,Loamy,MOP
115,35,12,24.13,89.48,6.83,424.78,17.38,0.82,2.8,Sandy,DAP
131,48,81,28.04,49.2,8.04,1313.12,27.44,1.21,2.08,Loamy,Zinc Sulphate
60,54,18,19.17,32.18,5.11,2831.33,51.5,1.2,1.9,Sandy,MOP
45,86,91,10.1,41.73,6.89,2985.44,54.63,0.85,2.3,Sandy,Urea
38,40,78,20.61,82.62,7.16,340.34,19.34,1.23,1.73,Loamy,Urea
106,86,31,22.14,57.99,6.18,2525.62,40.98,0.54,0.56,Silt,MOP
44,32,110,31.99,81.2,7.3,1544.72,55.87,0.36,1.03,Silt,Urea
66,49,78,35.78,56.63,6.14,1938.92,33.19,0.75,1.72,Silt,NPK
27,41,32,38.88,33.2,6.52,1616.71,15.18,1.43,0.15,Silt,Urea
22,13,89,20.55,67.05,4.53,2788.62,32.89,0.85,1.37,Silt,Urea
52,55,14,38.72,56.14,7.27,1539.76,28.79,1.03,2.29,Loamy,Urea
131,84,110,33.98,59.48,7.15,670.32,38.88,1.01,0.58,Loamy,NPK
41,51,117,10.93,86.94,4.65,2383.59,31.93,0.37,0.29,Clay,Urea
118,48,48,27.86,57.42,5.97,1638.57,10.87,0.71,2.52,Silt,MOP
117,79,12,20.97,77.79,8.42,527.79,59.7,1.12,1.89,Loamy,MOP
49,65,35,11.02,33.53,6.18,1492.46,37.18,1.46,0.61,Clay,Urea
66,56,17,25.95,58.74,6.51,2124.71,33.68,0.42,2.44,Silt,MOP
78,47,94,27.54,65.2,8.14,1028.35,57.73,0.73,2.01,Sandy,Zinc Sulphate
33,27,61,17.57,36.79,7.37,2753.53,17.79,0.32,1.07,Clay,Urea
92,11,91,38.2,48.13,6.83,2579.88,19.46,0.52,1.19,Loamy,DAP
124,63,78,28.31,74.38,7.69,1790.11,50.4,0.69,0.55,Sandy,SSP
33,39,15,15.28,41.03,7.96,352.24,23.04,0.9,2.52,Sandy,Urea
68,13,36,31.64,37.71,6.33,1833.14,49.96,0.5,1.58,Sandy,DAP
22,16,95,24.97,47.96,6.4,1363.69,23.58,0.5,1.72,Clay,Urea
42,88,31,24.2,81.54,6.04,2227.39,11.66,1.21,2.66,Loamy,Urea
128,66,111,35.04,75.78,8.37,947.69,35.85,1.45,0.15,Sandy,Zinc Sulphate
62,39,65,14.15,76.61,7.29,1896.14,19.83,0.62,0.29,Silt,DAP
90,53,111,24.73,49.35,4.83,1752.42,47.89,1.09,0.57,Sandy,Compost
74,86,52,33.42,35.94,7.95,1675.18,42.06,0.54,0.19,Sandy,Zinc Sulphate
145,38,36,29.81,31.92,6.42,524.55,56.18,1.41,2.01,Clay,DAP
101,45,54,10.16,65.17,4.78,1571.68,49.15,1.07,1.94,Clay,Compost
60,57,55,33.62,72.14,6.7,1741.74,19.04,1.24,0.71,Loamy,NPK
150,28,42,38.34,52.67,6.17,2797.44,50.01,0.26,0.53,Silt,DAP
22,72,115,31.14,61.73,8.01,1490.42,42.09,0.98,0.52,Clay,Urea
119,11,104,36.28,46.74,5.32,1991.62,43.45,0.89,2.86,Sandy,DAP
42,23,37,20.82,51.86,7.81,1793.89,51.61,0.58,2.11,Loamy,Urea
146,89,103,20.52,73.79,6.73,746.69,38.69,0.54,1.8,Sandy,Zinc Sulphate
77,44,107,19.63,73.09,4.72,716.35,33.3,0.95,1.04,Sandy,Compost
137,30,118,32.05,31.69,8.39,2270.31,41.83,1.12,1.36,Clay,DAP
136,26,90,38.26,86.65,6.55,1664.58,24.9,0.24,0.36,Loamy,DAP
101,41,60,36.56,46.14,5.66,2708.89,19.13,0.94,2.99,Silt,MOP
121,32,73,14.51,84.46,6.38,2742.83,40.83,0.42,2.29,Silt,DAP
153,15,44,28.78,60.71,7.93,1031.81,21.69,0.38,1.9,Clay,DAP
127,38,45,39.88,59.95,5.72,484.28,14.0,1.01,1.8,Clay,DAP
65,72,15,18.86,57.04,5.27,1163.43,10.03,0.6,1.56,Loamy,MOP
25,79,118,29.04,85.35,5.02,387.71,40.42,0.77,0.85,Silt,Urea
142,13,102,37.2,42.49,5.69,2387.51,28.11,0.67,0.76,Silt,DAP
111,67,67,36.99,66.7,7.62,609.31,47.62,1.04,1.69,Silt,NPK
38,40,32,19.64,49.07,6.39,2625.81,28.76,0.81,0.3,Sandy,Urea
33,31,23,12.82,84.91,5.41,1362.92,34.3,1.45,0.32,Silt,Urea
84,36,82,29.38,40.16,5.16,980.09,30.35,0.66,1.73,Sandy,DAP
115,25,65,38.41,70.57,5.83,1604.25,42.53,1.16,2.77,Loamy,DAP
65,15,88,25.24,55.31,8.26,1895.32,27.81,0.53,2.75,Sandy,DAP
35,89,111,23.73,69.67,5.87,2164.32,58.19,0.86,0.13,Loamy,Urea
127,16,34,35.92,39.46,8.45,1146.91,56.81,0.92,0.41,Silt,DAP
158,23,29,22.74,53.62,6.44,2952.32,52.4,0.63,1.79,Silt,DAP
37,12,116,30.43,36.44,5.22,1382.4,56.02,0.81,2.56,Loamy,Urea
127,58,95,21.66,88.13,8.06,2536.51,32.46,0.56,2.87,Clay,Zinc Sulphate
88,45,80,21.31,42.84,6.34,297.63,36.82,0.21,2.6,Loamy,SSP
139,38,27,15.63,89.59,7.34,2378.3,47.1,0.48,2.07,Clay,DAP
107,13,26,12.65,55.11,8.43,1743.75,44.81,1.11,0.68,Sandy,DAP
109,49,23,36.55,34.29,4.7,1990.95,54.53,1.2,0.31,Sandy,MOP
35,50,35,15.44,31.05,4.89,1244.06,45.82,0.56,0.24,Sandy,Urea
121,31,113,11.87,65.94,7.38,1725.55,59.89,0.73,1.88,Silt,DAP
153,88,41,27.47,66.88,5.63,2810.22,27.43,0.25,0.2,Sandy,Compost
144,13,102,26.38,61.49,5.24,1280.9,51.65,0.51,2.24,Clay,DAP
139,32,113,27.03,33.98,4.66,496.14,44.88,1.21,2.17,Sandy,DAP
95,13,68,24.04,49.89,4.59,2217.44,44.57,0.99,0.33,Loamy,DAP
92,77,80,14.26,51.54,7.6,1614.46,26.29,0.47,2.73,Loamy,Zinc Sulphate
60,27,66,10.63,72.29,5.04,1389.84,49.28,0.53,1.61,Silt,DAP
125,10,82,11.39,55.13,6.37,2377.89,55.02,1.26,2.72,Loamy,DAP
140,41,21,38.29,64.38,6.92,1774.1,20.93,0.47,2.71,Clay,MOP
108,30,12,25.96,47.18,6.21,1967.87,41.27,0.63,0.67,Sandy,DAP
137,47,41,21.99,73.56,4.61,2793.01,29.61,1.06,1.2,Silt,Compost
85,35,106,22.32,32.81,7.63,363.83,59.48,0.93,0.49,Sandy,DAP
65,50,24,29.57,89.31,4.54,934.67,33.94,0.8,2.35,Sandy,MOP
127,58,18,21.3,68.49,7.55,2715.02,21.42,1.37,1.56,Clay,MOP
23,50,58,33.89,38.93,8.07,2419.64,29.09,0.49,2.79,Loamy,Urea
157,68,53,17.8,73.05,6.23,728.08,42.69,1.16,0.7,Loamy,DAP
114,13,90,21.02,77.19,6.64,673.53,13.8,0.41,2.1,Sandy,DAP
125,22,37,38.05,77.32,6.41,2510.38,40.18,1.0,2.97,Silt,DAP
99,70,54,17.81,46.24,6.06,1748.02,56.56,1.33,2.03,Loamy,NPK
70,60,22,29.85,87.52,8.05,2608.95,52.52,0.8,0.3,Silt,MOP
153,44,56,20.94,31.06,8.08,2769.52,13.38,1.14,1.81,Loamy,Zinc Sulphate
140,74,30,24.14,52.79,5.84,394.72,59.67,1.27,0.62,Silt,MOP
23,58,59,11.36,36.25,6.96,2915.38,44.94,0.38,0.19,Clay,Urea
110,58,56,15.02,53.09,8.21,2206.13,18.11,1.12,1.07,Silt,Zinc Sulphate
73,23,14,13.06,33.43,8.35,2536.5,10.62,1.4,0.87,Clay,DAP
22,46,16,35.34,68.7,6.54,1964.94,18.56,0.95,2.39,Clay,Urea
49,39,47,38.85,33.75,6.31,1054.45,51.91,0.44,1.18,Silt,Urea
95,23,46,12.04,66.95,5.61,1878.41,11.08,0.37,2.23,Clay,DAP
